condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	0.0	472							
Maltohexaose	Varel_Bryant_medium	0.0	472							
Laminaribiose	Varel_Bryant_medium	0.7735164122649182	472	426.0	14.0	28.0	4.0	0.4817051234037318	0.36013851087103693	0.6891749723145073
Stachyose - 70%	Varel_Bryant_medium	0.0	472							
Melibiose	Varel_Bryant_medium	0.0	472							
D-Glucose	Varel_Bryant_medium	0.39813020020373135	472	425.0	15.0	28.0	4.0	0.4970426274183316	0.4781511534904471	0.7535642651921721
D-Trehalose dihydrate	Varel_Bryant_medium	0.0	472							
D-Arabinose	Varel_Bryant_medium	0.0	472							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.1709841662121203	472	417.0	16.0	36.0	3.0	0.47875834154605545	0.5594477894186433	0.7280906593406593
L-Fucose	Varel_Bryant_medium	0.2122941114953225	472	419.0	14.0	31.0	8.0	0.4073276983319722	0.4215287999515335	0.6735623211033047
Beta-Lactose	Varel_Bryant_medium	0.729353328493031	472	418.0	15.0	36.0	3.0	0.4651910804905655	0.4509345984614792	0.6556285221927252
D-Fructose	Varel_Bryant_medium	0.0	472							
D-Maltose monohydrate	Varel_Bryant_medium	0.0	472							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.21229411149532412	472	411.0	19.0	38.0	4.0	0.4899029813358919	0.493905609661548	0.73284717818643
D-Mannose	Varel_Bryant_medium	0.0	472							
D-Xylose	Varel_Bryant_medium	0.32452506058368147	472	413.0	16.0	40.0	3.0	0.458188580393945	0.5601958243443297	0.6712740384615384
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3186731406822778	472	416.0	18.0	33.0	5.0	0.49178560189137477	0.48435766067565733	0.7413953704997439
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	0.0	472							
L-Arabinose	Varel_Bryant_medium	0.32452506058389546	472	413.0	18.0	37.0	4.0	0.4835286337566732	0.48362454816195305	0.7075866579463702
D-Galactose	Varel_Bryant_medium	0.26646458001349604	472	419.0	17.0	34.0	2.0	0.5189732589933891	0.5297566591407524	0.7056727679195195
D-Glucosamine Hydrochloride	Varel_Bryant_medium	0.0	472							
D-Ribose	Varel_Bryant_medium	0.2582804349260313	472	413.0	15.0	40.0	4.0	0.42953840556647827	0.3660195255136121	0.6373228689775454
Red Arabinan from sugar-beet	Varel_Bryant_medium	0.9722502892385328	472	421.0	15.0	28.0	8.0	0.4413047856581809	0.43974414697589137	0.6801376917655987
Amylose from potato	Varel_Bryant_medium	13.225036964354585	472	426.0	13.0	26.0	7.0	0.43349101615821123	0.477213378485672	0.6681470953988276
Starch	Varel_Bryant_medium	10.229176344921047	472	423.0	16.0	28.0	5.0	0.4962909533136947	0.43083840037987353	0.7220422684791844
