condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	1.0038995009943025e-05	False	EX_maltttr_e	509	64
Maltohexaose	Varel_Bryant_medium	malthx	high	2	1.0038995009942969e-05	False	EX_malthx_e	509	64
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7735833999124592	True		56	61
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	1.0026310545924644e-05	False	EX_stys_e	509	66
Melibiose	Varel_Bryant_medium	melib	high	2	1.002631054592459e-05	False	EX_melib_e	509	52
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.39819575576755667	True		57	61
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	1.0026310545922923e-05	False	EX_tre_e	509	71
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	1.0026310545924615e-05	False		509	80
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.1710526701775332	True		57	71
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.21235324419350432	True		60	63
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7294201476575386	True		56	70
D-Fructose	Varel_Bryant_medium	fru	high	2	1.0026310545923353e-05	False	EX_fru_e	509	70
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	1.0026310545924595e-05	False		509	69
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.21235324419343052	True		61	77
D-Mannose	Varel_Bryant_medium	man	high	2	1.0026310545923639e-05	False	EX_man_e	509	69
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.3245903353475466	True		57	77
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.3188112323764078	True		61	68
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	1.0026310545924678e-05	False	EX_acgam_e	509	68
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.3245903353434369	True		60	75
D-Galactose	Varel_Bryant_medium	gal	high	2	0.2665242501818022	True		57	70
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	1.002631054592588e-05	False	EX_gam_e	509	62
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.25834545696956557	True		57	75
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	0.9723180350435419	True		61	59
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	13.225036964354587	True		58	54
Starch	Varel_Bryant_medium	starch1200	medium	3	10.229257672634038	True		59	62
