condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
D-Glucose	RCH2_defined_noCarbon	0.21027465746108095	979	887.0	45.0	39.0	8.0	0.6519788340412331	0.656743182165412	0.8294626230380421
D-Fructose	RCH2_defined_noCarbon	0.41258391906870334	979	891.0	45.0	37.0	6.0	0.6757976680713794	0.6483910968181383	0.8121856051336434
L-Arabinose	RCH2_defined_noCarbon	0.0	979							
D-Arabinose	RCH2_defined_noCarbon	0.17522888122192593	979	882.0	44.0	40.0	13.0	0.6091280966239218	0.6218352940999347	0.7979848363926576
D-Maltose monohydrate	RCH2_defined_noCarbon	0.5256782496612822	979	887.0	45.0	41.0	6.0	0.6579868608986418	0.6658880126315877	0.8142008906481939
D-Xylose	RCH2_defined_noCarbon	0.28036620995509276	979	887.0	46.0	40.0	6.0	0.6666576495167138	0.6456940288346174	0.838980181775567
D-Galactose	RCH2_defined_noCarbon	0.21027465746629193	979	892.0	44.0	34.0	9.0	0.6630787765210048	0.6646642442527464	0.8331768120891317
D-Raffinose pentahydrate	RCH2_defined_noCarbon	0.9461787993353294	979	892.0	45.0	36.0	6.0	0.6804469832586296	0.7091283158483508	0.7993483461189475
L-Rhamnose monohydrate	RCH2_defined_noCarbon	0.20629195953437476	979	885.0	45.0	34.0	15.0	0.627899444373501	0.6189867691258532	0.8265752461322081
D-Ribose	RCH2_defined_noCarbon	0.17522888122187857	979	895.0	45.0	31.0	8.0	0.6896979605464039	0.6088367234283805	0.8548697324707116
L-Fucose	RCH2_defined_noCarbon	0.3094379393015474	979	888.0	45.0	39.0	7.0	0.659258247431597	0.6535051489064552	0.7923184357541899
D-Cellobiose	RCH2_defined_noCarbon	0.7359285244951482	979	891.0	45.0	37.0	6.0	0.6757976680713794	0.6466040934683098	0.8642018109144303
Sodium L-Lactate	RCH2_defined_noCarbon	0.09745657991559109	979	890.0	46.0	33.0	10.0	0.6698897383049396	0.633066068012323	0.839324894514768
Sodium D,L-Lactate	RCH2_defined_noCarbon	0.09745657991559335	979	886.0	45.0	37.0	11.0	0.6400178488187723	0.6521884147396664	0.8267735269325936
Sodium pyruvate	RCH2_defined_noCarbon	0.09745657991559074	979	890.0	46.0	33.0	10.0	0.6698897383049396	0.5659681259775496	0.8562798874824191
Sodium succinate dibasic hexahydrate	RCH2_defined_noCarbon	0.0	979							
m-Inositol	RCH2_defined_noCarbon	0.30943793930154573	979	892.0	46.0	35.0	6.0	0.6894012423636197	0.6068104397895273	0.8238747284775495
Glycerol	RCH2_defined_noCarbon	0.2062919595343652	979	889.0	45.0	39.0	6.0	0.66673963683371	0.6776617802278623	0.8079475924447991
D-Sorbitol	RCH2_defined_noCarbon	0.3154119861994547	979	888.0	45.0	40.0	6.0	0.6623262097583102	0.6690198586173902	0.8309974996710093
L-Malic acid disodium salt monohydrate	RCH2_defined_noCarbon	0.10644058052043463	979	896.0	47.0	28.0	8.0	0.7136042823440344	0.6175566311878806	0.83476401179941
D-Trehalose dihydrate	RCH2_defined_noCarbon	0.5256782496853142	979	881.0	45.0	43.0	10.0	0.6212332623877507	0.6451379864647191	0.8265483113967963
L-Histidine	RCH2_defined_noCarbon	0.0	979							
L-Lysine	RCH2_defined_noCarbon	0.0	979							
L-Glutamine	RCH2_defined_noCarbon	0.0	979							
L-Proline	RCH2_defined_noCarbon	0.0	979							
L-Leucine	RCH2_defined_noCarbon	0.0	979							
N-Acetyl-D-Glucosamine	RCH2_defined_noCarbon	0.0	979							
D-Glucosamine Hydrochloride	RCH2_defined_noCarbon	0.0	979							
Uridine	RCH2_defined_noCarbon	0.0	979							
D-Salicin	RCH2_defined_noCarbon	0.30526639168841824	979	893.0	44.0	34.0	8.0	0.670403123916255	0.6440907239289804	0.8075215572440878
Beta-Lactose	RCH2_defined_noCarbon	0.5256782496612225	979	890.0	44.0	35.0	10.0	0.6512400426873243	0.6221521714075169	0.8164486638537272
D-Mannose	RCH2_defined_noCarbon	0.0	979							
D-(-)-tagatose	RCH2_defined_noCarbon	0.0	979							
