condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09670002256830984	713	587.0	45.0	68.0	13.0	0.5030583151138726	0.39704542060231496	0.7190929203539823
Sodium pyruvate	ShewMM_noCarbon	0.09670002118995082	713	578.0	46.0	77.0	12.0	0.48877742410268066	0.4223298247283917	0.6929860824031969
Sodium propionate	ShewMM_noCarbon	0.0	713							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	713							
Adenosine	ShewMM_noCarbon	0.46377447719041626	713	570.0	39.0	87.0	17.0	0.3977937990748188	0.425294862479965	0.6691206295124523
Uridine	ShewMM_noCarbon	0.3899075857098312	713	568.0	41.0	91.0	13.0	0.4231320287245956	0.4866162434124833	0.6756050174724874
Inosine	ShewMM_noCarbon	0.0	713							
Cytidine	ShewMM_noCarbon	0.3912009657259207	713	570.0	41.0	89.0	13.0	0.4277220856597116	0.48935792322643956	0.7052711439503893
Sodium D,L-Lactate	ShewMM_noCarbon	0.1934000423799135	713	556.0	49.0	100.0	8.0	0.47174262003651646	0.5076440489120024	0.6571409871959637
L-Glutamine	ShewMM_noCarbon	0.21097151479435403	713	602.0	44.0	53.0	14.0	0.5403795370640885	0.45635995654815603	0.7342515731690991
L-Isoleucine	ShewMM_noCarbon	0.0	713							
casamino acids	ShewMM_noCarbon	1.229291077772149	713	638.0	24.0	25.0	26.0	0.4464464450229461	0.3928114435794726	0.7083691910499139
