condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Maltotetraose	Varel_Bryant_medium	1.0040894931823689e-05	508							
Maltohexaose	Varel_Bryant_medium	1.0040239351656542e-05	508							
Laminaribiose	Varel_Bryant_medium	0.7933642833461331	508	428.0	37.0	24.0	19.0	0.5854292608420215	0.47652011111993847	0.8005464480874317
Stachyose - 70%	Varel_Bryant_medium	1.0026310545924576e-05	508							
Melibiose	Varel_Bryant_medium	1.0026310545924573e-05	508							
D-Glucose	Varel_Bryant_medium	0.45340444131087854	508	427.0	37.0	24.0	20.0	0.5786101373868898	0.5698076302134805	0.8060292661458907
D-Trehalose dihydrate	Varel_Bryant_medium	1.0026310545924085e-05	508							
D-Arabinose	Varel_Bryant_medium	1.0026310545924688e-05	508							
D-Raffinose pentahydrate	Varel_Bryant_medium	1.2466440727152803	508	420.0	40.0	31.0	17.0	0.5761983798749564	0.6171591769439666	0.7577754858671482
L-Fucose	Varel_Bryant_medium	0.2125868521491893	508	421.0	36.0	27.0	24.0	0.5284971315619889	0.517486941391794	0.8109862671660424
Beta-Lactose	Varel_Bryant_medium	0.7933642833351876	508	420.0	38.0	32.0	18.0	0.5522299605662778	0.5933518744486439	0.7970319634703197
D-Fructose	Varel_Bryant_medium	1.0026310545924908e-05	508							
D-Maltose monohydrate	Varel_Bryant_medium	1.002631054592463e-05	508							
L-Rhamnose monohydrate	Varel_Bryant_medium	0.2125868521491549	508	413.0	43.0	34.0	18.0	0.5700139326576119	0.6328977132142146	0.7515292132461506
D-Mannose	Varel_Bryant_medium	1.0026310545921847e-05	508							
D-Xylose	Varel_Bryant_medium	0.3778578097483311	508	415.0	40.0	36.0	17.0	0.5503256703403511	0.6143097634283384	0.7747928849902534
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	0.3188112323761988	508	418.0	39.0	29.0	22.0	0.5484072666917837	0.5665012565604969	0.7248663101604278
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	1.002631054592526e-05	508							
L-Arabinose	Varel_Bryant_medium	0.3778578097484041	508	415.0	42.0	33.0	18.0	0.5698357667396433	0.605178361225347	0.7605542725173211
D-Galactose	Varel_Bryant_medium	0.31881123237663855	508	422.0	41.0	29.0	16.0	0.5997617032029193	0.5997945440238238	0.7991682974559687
D-Glucosamine Hydrochloride	Varel_Bryant_medium	1.002631054592371e-05	508							
D-Ribose	Varel_Bryant_medium	0.2645378624064514	508	415.0	39.0	36.0	18.0	0.5377332447713602	0.5499147078173816	0.7729946112394149
Red Arabinan from sugar-beet	Varel_Bryant_medium	1.1333241253608275	508	424.0	36.0	23.0	25.0	0.546543049216024	0.5528702085988539	0.8005171567702238
Amylose from potato	Varel_Bryant_medium	25.7586268095299	508	429.0	33.0	21.0	25.0	0.5389078594576756	0.5302349432763578	0.8053923968020884
Starch	Varel_Bryant_medium	15.109450964161569	508	425.0	38.0	24.0	21.0	0.5780839017475181	0.5167301057418864	0.8072110516418343
