condition	media	bigg_ids	mapping_confidence	n_experiments	wt_growth	wt_grows	missing_exchanges	n_ko_no_growth	n_genes_fitness_below_threshold
Maltotetraose	Varel_Bryant_medium	maltttr	high	2	0.0	False	EX_maltttr_e	472	45
Maltohexaose	Varel_Bryant_medium	malthx	high	2	0.0	False	EX_malthx_e	472	44
Laminaribiose	Varel_Bryant_medium	lmn2	medium	2	0.7486927732525583	True		17	42
Stachyose - 70%	Varel_Bryant_medium	stys	medium	2	0.0	False	EX_stys_e	472	46
Melibiose	Varel_Bryant_medium	melib	high	2	0.0	False	EX_melib_e	472	36
D-Glucose	Varel_Bryant_medium	glc__D	high	10	0.3853534313943401	True		18	43
D-Trehalose dihydrate	Varel_Bryant_medium	tre	high	4	0.0	False	EX_tre_e	472	51
D-Arabinose	Varel_Bryant_medium	arab__D	high	2	0.0	False		472	59
D-Raffinose pentahydrate	Varel_Bryant_medium	raffin	high	2	1.133405017573047	True		18	52
L-Fucose	Varel_Bryant_medium	fuc__L	high	2	0.20575971985969754	True		21	45
Beta-Lactose	Varel_Bryant_medium	lcts	high	2	0.7059469683280362	True		17	51
D-Fructose	Varel_Bryant_medium	fru	high	2	0.0	False	EX_fru_e	472	51
D-Maltose monohydrate	Varel_Bryant_medium	malt	high	2	0.0	False		472	50
L-Rhamnose monohydrate	Varel_Bryant_medium	rmn	high	2	0.20575971985969638	True		22	57
D-Mannose	Varel_Bryant_medium	man	high	2	0.0	False	EX_man_e	472	49
D-Xylose	Varel_Bryant_medium	xyl__D	high	2	0.31411042318711735	True		18	56
D-Galacturonic Acid monohydrate	Varel_Bryant_medium	galur	high	2	0.30882181706640616	True		22	51
N-Acetyl-D-Glucosamine	Varel_Bryant_medium	acgam	high	2	0.0	False	EX_acgam_e	472	49
L-Arabinose	Varel_Bryant_medium	arab__L	high	2	0.31411042318685223	True		21	55
D-Galactose	Varel_Bryant_medium	gal	high	2	0.2582240041131938	True		18	51
D-Glucosamine Hydrochloride	Varel_Bryant_medium	gam	high	1	0.0	False	EX_gam_e	472	45
D-Ribose	Varel_Bryant_medium	rib__D	high	1	0.2499917158001041	True		18	55
Red Arabinan from sugar-beet	Varel_Bryant_medium	araban__L	medium	3	0.941048895412799	True		22	43
Amylose from potato	Varel_Bryant_medium	amylose300	medium	2	13.225036964354576	True		19	39
Starch	Varel_Bryant_medium	starch1200	medium	3	9.779671658884533	True		20	44
