condition	media	wt_growth	n_genes	tp	tn	fp	fn	mcc	aucpr_bernstein	auroc_standard
Sodium L-Lactate	ShewMM_noCarbon	0.09672284574091332	713	589.0	55.0	58.0	11.0	0.5902017786923729	0.5290289771153636	0.756113569321534
Sodium pyruvate	ShewMM_noCarbon	0.09672284574090967	713	580.0	56.0	67.0	10.0	0.5714273190178628	0.521404664326069	0.7066280832299849
Sodium propionate	ShewMM_noCarbon	0.0	713							
N-Acetyl-D-Glucosamine	ShewMM_noCarbon	0.0	713							
Adenosine	ShewMM_noCarbon	0.4638413654127162	713	572.0	49.0	77.0	15.0	0.48484117332113774	0.5419120289130308	0.742840918309402
Uridine	ShewMM_noCarbon	0.38998012710378704	713	570.0	50.0	82.0	11.0	0.4997051934962133	0.5727660720871084	0.732710061023314
Inosine	ShewMM_noCarbon	0.0	713							
Cytidine	ShewMM_noCarbon	0.3912739892265807	713	572.0	50.0	80.0	11.0	0.5048920786699262	0.5922304767523515	0.6928684523024146
Sodium D,L-Lactate	ShewMM_noCarbon	0.193445691482769	713	558.0	59.0	90.0	6.0	0.544285545512367	0.6229796344164485	0.7438835737065067
L-Glutamine	ShewMM_noCarbon	0.21101525866836338	713	603.0	53.0	44.0	13.0	0.6213688476199519	0.5560913318627504	0.8014627125451869
L-Isoleucine	ShewMM_noCarbon	0.0	713							
casamino acids	ShewMM_noCarbon	1.2295521977561976	713	635.0	29.0	20.0	29.0	0.5072901002984768	0.5395673738648284	0.8142826407671502
